mangled(_Z..)	demangled	in_ios_hd	in_ios_105	in_android	addr_ios_hd	addr_android
_Blowfish_decipher	Blowfish_decipher			Y		0006b360
_Blowfish_encipher	Blowfish_encipher			Y		0006b310
_CRYPTO_memcmp	CRYPTO_memcmp			Y		0018feb0
_ExitFunction	ExitFunction			Y		00093c98
_F	F			Y		0006b2d4
_InitializeBlowfish	InitializeBlowfish			Y		0006b3b0
_JNI_OnLoad	JNI_OnLoad			Y		0006b550
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetAchievementId	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetAchievementId			Y		0006b9fc
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLeaderboardScore	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLeaderboardScore			Y		0006b9d8
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLinkGameGP	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLinkGameGP			Y		0006ba40
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowAchievements	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowAchievements			Y		0006ba20
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowLeaderboards	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowLeaderboards			Y		0006ba60
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ReleaseOrigamiSuperClub	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ReleaseOrigamiSuperClub			Y		000d03cc
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetAchievements	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetAchievements			Y		0006ba0c
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLeaderboardScore	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLeaderboardScore			Y		0006b9e8
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLinkGameGP	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLinkGameGP			Y		0006ba50
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowAchievements	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowAchievements			Y		0006ba30
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowLeaderboards	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowLeaderboards			Y		0006ba70
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_SetGPIsLinked	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_SetGPIsLinked			Y		0006ba80
_Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_SetOrigamiSuperClub	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_SetOrigamiSuperClub			Y		000d0390
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_BackButtonPressed	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_BackButtonPressed			Y		00069578
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_STARTUP	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_STARTUP			Y		0006b864
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_SetDirectories	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_SetDirectories			Y		0006b6d0
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC1	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC1			Y		0006b89c
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC2	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC2			Y		0006b8a4
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC3	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC3			Y		0006b8ac
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC4	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC4			Y		0006b8b4
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC5	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC5			Y		0006b8bc
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC1BOUGHT	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC1BOUGHT			Y		0006b888
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC2BOUGHT	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC2BOUGHT			Y		0006b88c
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC3BOUGHT	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC3BOUGHT			Y		0006b890
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC4BOUGHT	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC4BOUGHT			Y		0006b894
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC5BOUGHT	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC5BOUGHT			Y		0006b898
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getExitFlag	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getExitFlag			Y		0006b850
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getLogoShown	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getLogoShown			Y		0006b9d0
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getScreenshotFlag	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getScreenshotFlag			Y		0006b854
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_handleAccelerometer	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_handleAccelerometer			Y		0006b866
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_handleTouchEvent	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_handleTouchEvent			Y		0006b87c
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_initialize	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_initialize			Y		0006b810
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_isInMainMenu	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_isInMainMenu			Y		0006b9d4
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_renderstep	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_renderstep			Y		0006b848
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_resetScreenshotFlag	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_resetScreenshotFlag			Y		0006b858
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_resize	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_resize			Y		0006b874
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_sendPauseSignalToGame	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_sendPauseSignalToGame			Y		0006b85c
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_sendResumeSignalToGame	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_sendResumeSignalToGame			Y		0006b860
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setAPKPath	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setAPKPath			Y		0006b5e0
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setCountryCodeOfDevice	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setCountryCodeOfDevice			Y		0006b6c8
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setEnvironmentVariables	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setEnvironmentVariables			Y		0006b5b4
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setZIPPath	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setZIPPath			Y		0006b654
_Java_net_fishlabs_gof2hdallandroid2012_ToJNI_testPurchase	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_testPurchase			Y		0006b8c4
