name	ghidra_addr	body_bytes	callees	callers
_INIT_0	00079440	98	3	0
_INIT_1	000794c0	22	1	0
_INIT_2	000794dc	72	2	0
_FINI_1	00079534	24	1	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_BackButtonPressed	00079578	12	0	0
iap_buy_dlc_valkyrie	0007958c	76	0	1
iap_buy_dlc_kaamo_club	00079624	76	0	1
iap_buy_dlc_supernova	00079684	76	0	1
iap_buy_dlc_vip	000796e4	76	0	1
iap_buy_dlc_full_package	00079744	76	0	1
iap_restore_purchases	000797a4	66	0	0
iap_buy_credits_100_000	000797f8	76	0	0
iap_buy_credits_300_000	00079858	76	0	1
iap_buy_credits_1_000_000	000798b8	76	0	1
iap_buy_credits_3_000_000	00079918	76	0	1
iap_buy_credits_10_000_000	00079978	76	0	1
free_credits_likeGOF2OnFacebook	000799d8	66	0	1
free_credits_likeFishlabsOnFacebook	00079a2c	66	0	1
free_credits_subscribeToYoutubeChannel	00079a80	66	0	1
free_credits_followOnTwitter	00079ad4	66	0	1
showMoreGames	00079b28	66	0	0
rateGame	00079b7c	66	0	1
free_credits_rateGame	00079bd0	66	0	1
openPrivacyPolicy	00079c24	78	1	1
openTermsOfService	00079c78	76	0	1
isPad	00079ccc	72	2	1
CallStaticBooleanMethod	00079d24	52	1	1
getWidth	00079d7c	66	2	1
CallStaticIntMethod	00079dd0	52	1	1
getHeight	00079e08	66	2	1
IsInGameSubMenuNotActive	00079e5c	40	0	2
IsDialogNotVisible2	00079e90	36	0	0
IsDialogVisible	00079ec0	24	0	0
IsStarMapNotVisible	00079ee0	14	0	0
IsDialogNotVisible	00079ef4	26	0	0
IsInPrimaryMenu	00079f18	76	0	0
IsSubMenuActive	00079f7c	124	1	0
IsInGameSubMenuActive	0007a010	16	0	0
HideMouse	0007a024	8	0	0
CaptureMouse	0007a030	8	0	0
SwitchToOtherMouseConifguration	0007a03c	10	0	0
UseJoystick	0007a04c	8	0	0
GetUseJoystick	0007a058	8	0	0
SetKeyCode	0007a064	86	1	0
GetKeyState	0007a0c4	24	0	0
GetKeyState	0007a0e0	54	1	1
keyEventPressed	0007a11c	56	2	0
keyPressed	0007a158	582	4	1
keyEventReleased	0007a41c	56	2	0
keyReleased	0007a458	338	4	1
SendStoredKeyUpEvents	0007a5e4	50	1	0
keyReleasedWithDelay	0007a620	28	0	0
ArrowKeyPressed	0007a644	30	0	1
keyIsPressed	0007a668	42	0	1
LowerMouseWheel	0007a6a0	242	0	0
MouseWheel	0007a7ac	136	1	0
MouseInput	0007a848	60	0	0
ActualizeMouseVisibilty	0007a8a0	482	3	0
simulateTouch	0007aaf0	1682	7	0
SlowMotion	0007b278	8	0	0
SpeedUp	0007b284	8	0	0
setValuesForGamepad	0007b290	10	0	0
opensubkeyfile	0007b2a0	40	1	1
F	0007b2d4	54	0	1
Blowfish_encipher	0007b310	74	1	1
Blowfish_decipher	0007b360	74	1	0
InitializeBlowfish	0007b3b0	396	6	0
JNI_OnLoad	0007b550	84	1	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setEnvironmentVariables	0007b5b4	30	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setAPKPath	0007b5e0	108	4	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setZIPPath	0007b654	108	4	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setCountryCodeOfDevice	0007b6c8	8	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_SetDirectories	0007b6d0	284	7	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_initialize	0007b810	50	1	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_renderstep	0007b848	10	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getExitFlag	0007b850	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getScreenshotFlag	0007b854	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_resetScreenshotFlag	0007b858	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_sendPauseSignalToGame	0007b85c	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_sendResumeSignalToGame	0007b860	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_handleAccelerometer	0007b866	16	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_resize	0007b874	10	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_handleTouchEvent	0007b87c	14	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC1BOUGHT	0007b888	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC2BOUGHT	0007b88c	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC3BOUGHT	0007b890	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC4BOUGHT	0007b894	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC5BOUGHT	0007b898	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC1	0007b89c	8	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC2	0007b8a4	8	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC3	0007b8ac	8	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC4	0007b8b4	8	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC5	0007b8bc	8	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_testPurchase	0007b8c4	6	0	0
Java_net_fishlabs_googleplay_ToJNI_gof2hd2012apk	0007b8cc	12	0	0
Java_net_fishlabs_googleplay_ToJNI_gof2hd2012getPremiumSKU	0007b8dc	72	0	0
Java_net_fishlabs_googleplay_ToJNI_gof2hd2012getConsumableSKU	0007b940	72	0	0
Java_net_fishlabs_googleplay_ToJNI_iapBoughtPremium	0007b9a4	10	0	0
Java_net_fishlabs_googleplay_ToJNI_iapBoughtConsumable	0007b9ac	8	0	0
Java_net_fishlabs_googleplay_ToJNI_iapSetNativeItemInformationList	0007b9b2	26	0	0
Java_net_fishlabs_googleplay_ToJNI_iapResetNativeItemInformationList	0007b9b6	26	0	0
Java_net_fishlabs_tapjoy_ToJNI_spentAmountOfCredits	0007b9bc	14	0	0
Java_net_fishlabs_playhaven_ToJNI_getCurrentApplicationModule	0007b9cc	14	1	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getLogoShown	0007b9d0	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_ToJNI_isInMainMenu	0007b9d4	26	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLeaderboardScore	0007b9d8	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLeaderboardScore	0007b9e8	14	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetAchievementId	0007b9fc	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetAchievements	0007ba0c	16	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowAchievements	0007ba20	10	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowAchievements	0007ba30	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLinkGameGP	0007ba40	10	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLinkGameGP	0007ba50	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowLeaderboards	0007ba60	10	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowLeaderboards	0007ba70	12	0	0
Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_SetGPIsLinked	0007ba80	10	0	0
Mesh	0007ba90	250	5	1
MeshConvertToVBO	0007bbac	58	2	1
ReadEnhancedDataFromFile	0007bbec	1750	9	1
TransformRelease	0007c314	78	2	1
MeshRelease	0007c362	32	1	1
MeshReleaseIntern	0007c380	332	4	0
MeshCreate	0007c4d4	302	4	1
MeshReadData	0007c608	2572	22	1
ArrayAdd<AbyssEngine::Mesh*>	0007d050	36	1	1
MeshCreateFromFile	0007d074	768	14	1
MeshDraw	0007d3ac	350	9	1
MeshConvertToVBOIntern	0007d510	700	6	1
TransformConvertToVBO	0007d7e0	56	2	1
MeshIntersect	0007d818	670	1	1
initFileInterface	0007daf4	32	2	1
getAppVersion	0007db20	360	20	1
ActivateTextureFBO	0007dcbe	14	0	0
ActivateRender2TextureFBO	0007dccc	14	0	1
DeactivateRender2TextureFBO	0007dcda	14	0	1
ActivateRefractFBO	0007dce8	16	0	1
ActivateRender2FracFBO	0007dcf6	16	0	1
DeactivateRender2FracFBO	0007dd04	16	0	1
ActivateViewBuffer	0007dd14	34	1	1
CopyFBO	0007dd38	118	10	0
SwapBuffer	0007ddb4	26	0	1
GetDeviceInfo	0007ddd6	26	3	2
FileInterfaceAndroid	0007ddf4	28	0	1
FileInterfaceAndroid	0007de18	70	1	1
FileInterfaceAndroid	0007de68	42	0	0
FileInterfaceAndroid	0007de9c	182	0	0
