isHooked_11cd38	isHooked	11cd38	6
isCaught_11cd3e	isCaught	11cd3e	6
getItemIndex_11cff8	getItemIndex	11cff8	6
getMaxEndurance_11cffe	getMaxEndurance	11cffe	6
getEndurance_11d004	getEndurance	11d004	6
hook_11cd44	hook	11cd44	12
getWeight_11cfe4	getWeight	11cfe4	14
_PlayerCreature_11ccd8	~PlayerCreature	11ccd8	16
calmDown_11cc28	calmDown	11cc28	20
unhook_11cd4e	unhook	11cd4e	24
render_11cfb8	render	11cfb8	36
rage_11cce8	rage	11cce8	72
reset_11cc40	reset	11cc40	126
PlayerCreature_11cb5c	PlayerCreature	11cb5c	178
update_11cd68	update	11cd68	562
