class	method	ghidra_addr	body	callees
(free)	_INIT_0	00079440	98	3
(free)	_INIT_1	000794c0	22	1
(free)	_INIT_2	000794dc	72	2
(free)	_FINI_1	00079534	24	1
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_BackButtonPressed	00079578	12	0
NFC	iap_buy_dlc_valkyrie	0007958c	76	0
NFC	iap_buy_dlc_kaamo_club	00079624	76	0
NFC	iap_buy_dlc_supernova	00079684	76	0
NFC	iap_buy_dlc_vip	000796e4	76	0
NFC	iap_buy_dlc_full_package	00079744	76	0
NFC	iap_restore_purchases	000797a4	66	0
NFC	iap_buy_credits_100_000	000797f8	76	0
NFC	iap_buy_credits_300_000	00079858	76	0
NFC	iap_buy_credits_1_000_000	000798b8	76	0
NFC	iap_buy_credits_3_000_000	00079918	76	0
NFC	iap_buy_credits_10_000_000	00079978	76	0
NFC	free_credits_likeGOF2OnFacebook	000799d8	66	0
NFC	free_credits_likeFishlabsOnFacebook	00079a2c	66	0
NFC	free_credits_subscribeToYoutubeChannel	00079a80	66	0
NFC	free_credits_followOnTwitter	00079ad4	66	0
NFC	showMoreGames	00079b28	66	0
NFC	rateGame	00079b7c	66	0
NFC	free_credits_rateGame	00079bd0	66	0
NFC	openPrivacyPolicy	00079c24	78	1
NFC	openTermsOfService	00079c78	76	0
NFC	isPad	00079ccc	72	2
_JNIEnv	CallStaticBooleanMethod	00079d24	52	1
NFC	getWidth	00079d7c	66	2
_JNIEnv	CallStaticIntMethod	00079dd0	52	1
NFC	getHeight	00079e08	66	2
(free)	IsInGameSubMenuNotActive	00079e5c	40	0
(free)	IsDialogNotVisible2	00079e90	36	0
(free)	IsDialogVisible	00079ec0	24	0
(free)	IsStarMapNotVisible	00079ee0	14	0
(free)	IsDialogNotVisible	00079ef4	26	0
(free)	IsInPrimaryMenu	00079f18	76	0
(free)	IsSubMenuActive	00079f7c	124	1
(free)	IsInGameSubMenuActive	0007a010	16	0
(free)	HideMouse	0007a024	8	0
(free)	CaptureMouse	0007a030	8	0
(free)	SwitchToOtherMouseConifguration	0007a03c	10	0
(free)	UseJoystick	0007a04c	8	0
(free)	GetUseJoystick	0007a058	8	0
(free)	SetKeyCode	0007a064	86	1
(free)	GetKeyState	0007a0c4	24	0
(free)	GetKeyState	0007a0e0	54	1
(free)	keyEventPressed	0007a11c	56	2
(free)	keyPressed	0007a158	582	4
(free)	keyEventReleased	0007a41c	56	2
(free)	keyReleased	0007a458	338	4
(free)	SendStoredKeyUpEvents	0007a5e4	50	1
(free)	keyReleasedWithDelay	0007a620	28	0
(free)	ArrowKeyPressed	0007a644	30	0
(free)	keyIsPressed	0007a668	42	0
(free)	LowerMouseWheel	0007a6a0	242	0
(free)	MouseWheel	0007a7ac	136	1
(free)	MouseInput	0007a848	60	0
(free)	ActualizeMouseVisibilty	0007a8a0	482	3
(free)	simulateTouch	0007aaf0	1682	7
(free)	SlowMotion	0007b278	8	0
(free)	SpeedUp	0007b284	8	0
(free)	setValuesForGamepad	0007b290	10	0
(free)	opensubkeyfile	0007b2a0	40	1
(free)	F	0007b2d4	54	0
(free)	Blowfish_encipher	0007b310	74	1
(free)	Blowfish_decipher	0007b360	74	1
(free)	InitializeBlowfish	0007b3b0	396	6
(free)	JNI_OnLoad	0007b550	84	1
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setEnvironmentVariables	0007b5b4	30	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setAPKPath	0007b5e0	108	4
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setZIPPath	0007b654	108	4
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_setCountryCodeOfDevice	0007b6c8	8	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_SetDirectories	0007b6d0	284	7
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_initialize	0007b810	50	1
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_renderstep	0007b848	10	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getExitFlag	0007b850	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getScreenshotFlag	0007b854	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_resetScreenshotFlag	0007b858	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_sendPauseSignalToGame	0007b85c	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_sendResumeSignalToGame	0007b860	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_handleAccelerometer	0007b866	16	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_resize	0007b874	10	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_handleTouchEvent	0007b87c	14	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC1BOUGHT	0007b888	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC2BOUGHT	0007b88c	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC3BOUGHT	0007b890	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC4BOUGHT	0007b894	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getDLC5BOUGHT	0007b898	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC1	0007b89c	8	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC2	0007b8a4	8	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC3	0007b8ac	8	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC4	0007b8b4	8	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_correctBoughtDLC5	0007b8bc	8	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_testPurchase	0007b8c4	6	0
(free)	Java_net_fishlabs_googleplay_ToJNI_gof2hd2012apk	0007b8cc	12	0
(free)	Java_net_fishlabs_googleplay_ToJNI_gof2hd2012getPremiumSKU	0007b8dc	72	0
(free)	Java_net_fishlabs_googleplay_ToJNI_gof2hd2012getConsumableSKU	0007b940	72	0
(free)	Java_net_fishlabs_googleplay_ToJNI_iapBoughtPremium	0007b9a4	10	0
(free)	Java_net_fishlabs_googleplay_ToJNI_iapBoughtConsumable	0007b9ac	8	0
(free)	Java_net_fishlabs_googleplay_ToJNI_iapSetNativeItemInformationList	0007b9b2	26	0
(free)	Java_net_fishlabs_googleplay_ToJNI_iapResetNativeItemInformationList	0007b9b6	26	0
(free)	Java_net_fishlabs_tapjoy_ToJNI_spentAmountOfCredits	0007b9bc	14	0
(free)	Java_net_fishlabs_playhaven_ToJNI_getCurrentApplicationModule	0007b9cc	14	1
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_getLogoShown	0007b9d0	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_ToJNI_isInMainMenu	0007b9d4	26	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLeaderboardScore	0007b9d8	12	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLeaderboardScore	0007b9e8	14	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetAchievementId	0007b9fc	12	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetAchievements	0007ba0c	16	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowAchievements	0007ba20	10	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowAchievements	0007ba30	12	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetLinkGameGP	0007ba40	10	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetLinkGameGP	0007ba50	12	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_GetShowLeaderboards	0007ba60	10	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_ResetShowLeaderboards	0007ba70	12	0
(free)	Java_net_fishlabs_gof2hdallandroid2012_GOF2HD2012_SetGPIsLinked	0007ba80	10	0
AbyssEngine::Mesh	Mesh	0007ba90	250	5
AbyssEngine	MeshConvertToVBO	0007bbac	58	2
AbyssEngine::Mesh	ReadEnhancedDataFromFile	0007bbec	1750	9
